author1,author2,author3,author4,author5,author6,author7,author8
Maíra Greco de Paula,Simone Diniz Junqueira Barbosa,,,,,,
Simone Diniz Junqueira Barbosa,Maíra Greco de Paula,,,,,,
Simone Diniz Junqueira Barbosa,Maíra Greco de Paula,,,,,,
Jean-Pierre Briot,Eurico Vasconcelos,Diana Adamatti,Vinícius Sebba,Marta Irving,Simone Diniz Junqueira Barbosa,Vasco Furtado,Carlos José P. de Lucena
Simone Diniz Junqueira Barbosa,Maíra Greco de Paula,Carlos José P. de Lucena,,,,,
Franco Eusébio Garcia,Kamila Rios da Hora Rodrigues,Vânia Paula de Almeida Neris,,,,,
Bruno Santana Silva,Simone Diniz Junqueira Barbosa,,,,,,
Kleder M. Gonçalves,Hana K. Rubinsztejn,Markus Endler,Bruno Santana Silva,Simone Diniz Junqueira Barbosa,,,
Maíra Greco de Paula,Simone Diniz Junqueira Barbosa,,,,,,
Maíra Greco de Paula,Simone Diniz Junqueira Barbosa,Carlos José P. de Lucena,,,,,
Raquel Oliveira Prates,Mary Beth Rosson,Clarisse Sieckenius de Souza,,,,,
Bruno Santana Silva,Simone Diniz Junqueira Barbosa,,,,,,
Cintia Carvalho Oliveira,,,,,,,
Maíra Greco de Paula,Bruno Santana Silva,Simone Diniz Junqueira Barbosa,,,,,
Otávio A Martins Netto,Milene Selbach Silveira,Simone Diniz Junqueira Barbosa,,,,,
Cristiano Maciel,Ana Cristina Bicharra Garcia,,,,,,
Anna Beatriz dos Santos Marques,Simone Diniz Junqueira Barbosa,Tayana Uchôa Conte,,,,,
Cássio da Pieva Ehlers,,,,,,,
Allan Kássio Beckman Soares da Cruz,,,,,,,
Maíra Greco de Paula,,,,,,,
Juliana Soares Janse Ferreira,Clarisse Sieckenius de Souza,,,,,,
Bruno Santana Silva,Simone Diniz Junqueira Barbosa,,,,,,
Raquel Oliveira Prates,Simone Diniz Junqueira Barbosa,,,,,,
Rodrigo Mattos Mengue,Juliano Ratusznei,Lucélia de Souza,,,,,
Claudia Andrea Mena Saavedra,,,,,,,
Simone Diniz Junqueira Barbosa,Bruno Santana Silva,,,,,,
Eurico Vasconcelos,Jean-Pierre Briot,Marta Irving,Simone Diniz Junqueira Barbosa,Vasco Furtado,,,
Tiago Silva da Silva,Milene Selbach Silveira,,,,,,
Ana Carolina Innecco C de Araujo,,,,,,,
Alandjansen Rodrigues,André Calfa,Simone Diniz Junqueira Barbosa,,,,,
Anna Beatriz dos Santos Marques,,,,,,,
Tiago Silva da Silva,,,,,,,
Maria Cristina Machado Domingues,,,,,,,
Florence Pontico,Marco Winckler,Quentin Limbourg,,,,,
Vasco Furtado,Leonardo Ayres,José Eurico Vasconcelos,Rafael Alves,Marcos Rafael de Oliveira,,,
Bruno Santana Silva,Ariane Moraes Bueno,Simone Diniz Junqueira Barbosa,,,,,
Jordan Janeiro,Simone Diniz Junqueira Barbosa,Thomas Springer,Alexander Schill,,,,
Luiz Gustavo de Souza,Simone Diniz Junqueira Barbosa,,,,,,
Ugo Braga Sangiorgi,Simone Diniz Junqueira Barbosa,,,,,,
Bruno Santana Silva,Viviane Cristina Oliveira Aureliano,Simone Diniz Junqueira Barbosa,,,,,
Sebastian Feuerstack,,,,,,,
Sebastian Feuerstack,,,,,,,
Raquel Oliveira Prates,Rodrigo Ferreira da Silva,,,,,,
Ugo Braga Sangiorgi,Simone Diniz Junqueira Barbosa,,,,,,
Marco Brambilla,,,,,,,
Carlos Rosemberg Maia de Carvalho,,,,,,,
Ugo Braga Sangiorgi,Simone Diniz Junqueira Barbosa,,,,,,
Bruno Santana Silva,,,,,,,
Jordan Janeiro,Simone Diniz Junqueira Barbosa,Thomas Springer,Alexander Schill,,,,
Sílvia Amélia Bim,,,,,,,
Frederick M. C. van Amstel,Rodrigo Freese Gonzatto,Gláucio H. M. Moro,,,,,
Lucélia de Souza,,,,,,,
Luís Felipe Hussin Bento,Raquel Oliveira Prates,Luiz Chaimowicz,,,,,
Matias Urbieta,Maria José Escalona,Esteban Robles Luna,Gustavo Rossi,,,,
Macilon Araújo Costa Neto,Jair Cavalcanti Leite,,,,,,
Ilya Shmorgun,David Lamas,,,,,,
Abiodun Ogunyemi,David Lamas,,,,,,
Ticianne de Gois Ribeiro,Carlos Eduardo Brito Novais,,,,,,
Rodrigo A. S. Alves,Raquel Oliveira Prates,Elaine S. França,,,,,
Jefferson José Baqueta,,,,,,,
Maíra Greco de Paula,Simone Diniz Junqueira Barbosa,,,,,,
Júnio Soares Dias,Raquel Oliveira Prates,,,,,,
Daniel Vitor Costa Ferreira,Simone Diniz Junqueira Barbosa,,,,,,
Carla Ferreira Fernandes,,,,,,,
Letícia Capelão,Raquel Oliveira Prates,Leonardo Freitas,Heider Maciel,,,,
Elsa Chinita Soares Rodrigues,,,,,,,
Maria José Escalona,Matias Urbieta,Gustavo Rossi,Julián Alberto Garcia,Esteban Robles Luna,,,
Elisabeth-Ann Gynn Todd,,,,,,,
Daniele Carvalho Oliveira,,,,,,,
Luciana Cardoso Castro Salgado,Carla Faria Leitão,Clarisse Sieckenius de Souza,,,,,
Vinícius Costa Villas Bôas Segura,Simone Diniz Junqueira Barbosa,,,,,,
Macilon Araújo Costa Neto,,,,,,,
Claudia Andrea Mena Saavedra,Cristian Rusu,Silvana Roncagliolo,,,,,
Simone Diniz Junqueira Barbosa,Gustavo de M. Gonçalves,,,,,,
Werner Putschögl,Bernhard Dorninger,,,,,,
Luiz Gustavo de Souza,Simone Diniz Junqueira Barbosa,,,,,,
Emanuelly de Freitas Morais Barros,,,,,,,
Thiago Ribeiro Nunes,Daniel Schwabe,,,,,,
Taffarel Brant Ribeiro,,,,,,,
Bruno Santana Silva,,,,,,,
Ingrid Teixeira Monteiro,Eduardo Tiomno Tolmasquim,Clarisse Sieckenius de Souza,,,,,
Elton José da Silva,,,,,,,
Débora Mendonça Cardador Corrêa da Costa,,,,,,,
Emanuelly de Freitas Morais Barros,Raquel Oliveira Prates,,,,,,
Taffarel Brant Ribeiro,Rafael Araújo,Igor Mendonça,Michel S. Soares,Renan G. Cattelan,,,
Letícia Capelão,Raquel Oliveira Prates,Heider Maciel,Leonardo Freitas,,,,
Bruno Santana Silva,Otávio A Martins Netto,Simone Diniz Junqueira Barbosa,,,,,
Maíra Greco de Paula,Simone Diniz Junqueira Barbosa,Carlos José P. de Lucena,,,,,
Luiz Gustavo de Souza,,,,,,,
Luiz Gustavo de Souza,Simone Diniz Junqueira Barbosa,Tayana Uchôa Conte,,,,,
Adriana Lopes Damian,Anna Beatriz dos Santos Marques,Simone Diniz Junqueira Barbosa,Tayana Uchôa Conte,,,,
Raquel Oliveira Prates,,,,,,,
Luiz Gustavo de Souza,Simone Diniz Junqueira Barbosa,,,,,,
Anna Beatriz dos Santos Marques,Tayana Uchôa Conte,Simone Diniz Junqueira Barbosa,,,,,
Patric Galera Forcelini,,,,,,,
Simone Diniz Junqueira Barbosa,,,,,,,
Adriana Lopes Damian,Anna Beatriz dos Santos Marques,Tayana Uchôa Conte,Simone Diniz Junqueira Barbosa,,,,
Adriana Lopes Damian,Anna Beatriz dos Santos Marques,Simone Diniz Junqueira Barbosa,Tayana Uchôa Conte,,,,
Anna Beatriz dos Santos Marques,Simone Diniz Junqueira Barbosa,Tayana Uchôa Conte,,,,,
Williamson Silva,Tayana Uchôa Conte,,,,,,
Daniel Antônio Midena Aguillar,Daniele Haucke,Socrates Veridiano Faria Lopes,Plinio Thomaz Aquino Junio,,,,
Luiz Gustavo de Souza,Simone Diniz Junqueira Barbosa,Hugo Fuks,,,,,
Jean Clemisson Santos Rosa,Ecivaldo de Souza Matos,,,,,,
Anna Beatriz dos Santos Marques,Tayana Uchôa Conte,Simone Diniz Junqueira Barbosa,,,,,
Maihara F. de Oliveira Baldus,Cristiano Maciel,Patrícia Cristiane de Souza,,,,,
Clarisse Sieckenius de Souza,Renato Fontoura de Gusmão Cerqueira,Luiz Marques Afonso,Rafael Rossi de Mello Brandão,Juliana Soares Janse Ferreira,,,
Adriana Lopes Damian,,,,,,,
Vahdat Abdelzad,Timothy C. Lethbridge,Mahmood Hosseini,,,,,
Larissa Ayres,Anna Beatriz dos Santos Marques,Raimundo Barreto,Tayana Uchôa Conte,,,,
Alessandro J. de Souza,,,,,,,
Mario Anzures García,,,,,,,
Alessandro J. de Souza,Anderson Luiz O. Cavalcanti,,,,,,
Thiago Ribeiro Nunes,,,,,,,
Raquel Oliveira Prates,,,,,,,
Rafael Rossato de Souza,,,,,,,
Julio Guido Oliveira Militão,,,,,,,
Sara Imtiaz,Arif Raza,,,,,,
Anna Beatriz dos Santos Marques,Tayana Uchôa Conte,Simone Diniz Junqueira Barbosa,,,,,
Anna Beatriz dos Santos Marques,,,,,,,
Carla Faria Leitão,,,,,,,
Ariane Moraes Bueno,Simone Diniz Junqueira Barbosa,,,,,,
Adriana Lopes Damian,Natasha Valentim,Bruna Moraes,Renata Zilse,Tayana Uchôa Conte,,,
Priscilla Márcia Scarpelli Bastos,Diogo Marcos de Oliveira,Iago Antônio Domingues Vaz,Lyra de Almeida Guimarães Soares,Karina de Oliveira Rodrigues da Silva,Viviane Lílian dos Santos Barrozo,Júnio Soares Dias,
Anna Beatriz dos Santos Marques,,,,,,,
Adriana Lopes Damian,Natasha Valentim,Bruna Moraes,Renata Zilse,Tayana Uchôa Conte,,,
Taisa Guidini Gonçalves,Káthia Marçal Oliveira,Christophe Kolski,,,,,
Taisa Guidini Gonçalves,Káthia Marçal Oliveira,Christophe Kolski,,,,,
Adriana Lopes Damian,Natasha Valentim,Bruna Moraes,Renata Zilse,Tayana Uchôa Conte,,,
Débora Line,Cybelle Loureiro,Raquel Oliveira Prates,,,,,
Esteban Robles Luna,Gustavo Rossi,Irene Garrigós,,,,,
